query,expected,category,top_k,hit,rank,reciprocal_rank,retrieved_sources,retrieved_types
What is BeautifulSoup used for?,beautifulsoup4,Web Scraping,1,True,1.0,1.0,"[""beautifulsoup4""]","[""pypi_package""]"
How to create a pandas DataFrame?,pandas,Data Processing,1,True,1.0,1.0,"[""pandas""]","[""pypi_package""]"
What is NumPy?,numpy,Numerical Computing,1,True,1.0,1.0,"[""numpy""]","[""pypi_package""]"
How to use TensorFlow for deep learning?,tensorflow,Deep Learning,1,True,1.0,1.0,"[""tensorflow""]","[""pypi_package""]"
What is PyTorch?,torch,Deep Learning,1,True,1.0,1.0,"[""torch""]","[""pypi_package""]"
How to plot graphs with matplotlib?,matplotlib,Visualization,1,True,1.0,1.0,"[""matplotlib""]","[""pypi_package""]"
What is scikit-learn?,scikit-learn,Machine Learning,1,True,1.0,1.0,"[""scikit-learn""]","[""pypi_package""]"
How to use XGBoost for classification?,xgboost,Machine Learning,1,True,1.0,1.0,"[""xgboost""]","[""pypi_package""]"
What is SHAP and how does it explain models?,shap,Interpretability,1,True,1.0,1.0,"[""shap""]","[""pypi_package""]"
How to track ML experiments with MLflow?,mlflow,MLOps,1,True,1.0,1.0,"[""mlflow""]","[""pypi_package""]"
How to create interactive visualizations with Plotly?,plotly,Visualization,1,True,1.0,1.0,"[""plotly""]","[""pypi_package""]"
What is spaCy used for?,spacy,NLP,1,True,1.0,1.0,"[""spacy""]","[""pypi_package""]"
How to use OpenCV for image processing?,opencv-python,Computer Vision,1,True,1.0,1.0,"[""opencv-python""]","[""pypi_package""]"
What is LightGBM?,lightgbm,Machine Learning,1,False,,0.0,"[""catboost""]","[""pypi_package""]"
How to optimize hyperparameters with Optuna?,optuna,Machine Learning,1,True,1.0,1.0,"[""optuna""]","[""pypi_package""]"
What is BeautifulSoup used for?,beautifulsoup4,Web Scraping,3,True,1.0,1.0,"[""beautifulsoup4"", ""nltk"", ""textblob""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to create a pandas DataFrame?,pandas,Data Processing,3,True,1.0,1.0,"[""pandas"", ""dash"", ""feature-engine""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is NumPy?,numpy,Numerical Computing,3,True,1.0,1.0,"[""numpy"", ""jax"", ""pandas""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
